,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,time_to_rent
782,1,14,35.0,27000,Красногвардейский,Лесная,1.0,1.0,0.0,0.0,0.0,1.0,7.0,2.5,1.0,нет балкона,На улицу,Косметический,1975.0,Панельный,Наземная,1
783,3,12,41.0,40000,Московский,Парк Победы,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.6677996422182466,1.0,1 лоджия,Во двор,Евроремонт,2006.0,Монолитный,Многоуровневая,1
784,8,16,43.0,45000,Московский,Электросила,1.0,1.0,1.0,1.0,0.0,1.0,17.0,2.6677996422182466,1.0,1 балкон,На улицу,Евроремонт,2005.0,Кирпичный,Открытая,1
785,6,11,38.0,27000,Выборгский,Озерки,1.0,1.0,0.0,0.0,0.0,1.0,9.0,2.6,1.0,нет балкона,На улицу,Евроремонт,1988.0,Кирпичный,Наземная,1
786,5,5,30.9,40000,Московский,Звездная,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.6,1.0,нет балкона,На улицу,Косметический,1963.0,Кирпичный,Наземная,1
787,3,10,31.4,24000,Красносельский,Проспект Ветеранов,1.0,1.0,0.0,1.0,0.0,0.0,7.0,2.5,1.0,нет балкона,На улицу,Косметический,1971.0,Кирпичный,Наземная,1
788,1,5,30.0,24000,Красногвардейский,Новочеркасская,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.5,1.0,нет балкона,Во двор,Косметический,1961.0,Панельный,Наземная,1
789,4,24,37.26,20000,Приморский,Комендантский проспект,0.0,0.0,0.0,0.0,0.0,0.0,16.2,2.7,1.0,1 лоджия,Во двор,Евроремонт,2022.0,Монолитный,Подземная,1
790,7,12,35.0,23000,Пушкинский,Купчино,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2021.0,Монолитный,Наземная,1
791,3,7,35.0,26000,Красногвардейский,Лесная,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.5,1.0,нет балкона,Во двор,Евроремонт,1963.0,Блочный,Наземная,1
792,3,18,33.0,33000,Московский,Московская,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.6677996422182466,1.0,1 балкон,На улицу,Косметический,2015.0,Кирпичный,Открытая,1
793,14,14,38.0,70000,Красногвардейский,Новочеркасская,1.0,1.0,1.0,1.0,1.0,1.0,10.0,2.6677996422182466,1.0,1 лоджия,На улицу,Дизайнерский,2018.0,Монолитный,Подземная,1
794,1,9,33.0,20000,Калининский,Гражданский проспект,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.5,1.0,нет балкона,Во двор,Косметический,1972.0,Панельный,Наземная,1
795,9,16,34.7,30000,Приморский,Беговая,1.0,1.0,1.0,0.0,0.0,0.0,11.2,2.6677996422182466,1.0,1 лоджия,На улицу,Евроремонт,2023.0,Кирпичный,Наземная,1
796,4,5,31.0,23000,Кировский,Проспект Ветеранов,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.5,1.0,1 балкон,Во двор,Косметический,1968.0,Панельный,Наземная,1
797,11,22,33.0,23000,Невский,Ломоносовская,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.5,1.0,1 лоджия,Во двор,Косметический,2018.0,Монолитно-кирпичный,Наземная,1
798,4,7,42.0,25000,Пушкинский,Шушары,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.6677996422182466,1.0,1 балкон,Во двор,Косметический,2011.0,Монолитный,Наземная,0
800,4,18,20.0,18400,Красногвардейский,Девяткино,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.6,1.0,1 лоджия,Во двор,Евроремонт,2023.0,Панельный,Наземная,1
801,6,17,36.0,40000,Выборгский,Озерки,1.0,1.0,1.0,1.0,0.0,1.0,14.0,2.6677996422182466,1.0,1 лоджия,Во двор,Дизайнерский,2022.0,Монолитный,Наземная,1
802,8,17,50.0,48000,Василеостровский,Василеостровская,1.0,1.0,1.0,1.0,0.0,1.0,12.0,2.8,1.0,1 лоджия,Во двор,Евроремонт,2006.0,Монолитный,Подземная,1
803,19,23,46.0,45000,Московский,Звездная,1.0,1.0,0.0,1.0,1.0,1.0,11.5,2.8,1.0,1 балкон,Во двор,Дизайнерский,2017.0,Монолитный,Наземная,1
804,15,25,40.0,25000,Невский,Рыбацкое,1.0,1.0,1.0,1.0,0.0,1.0,10.0,2.6677996422182466,1.0,1 лоджия,На улицу и двор,Евроремонт,2019.0,Монолитный,Подземная,1
