,id,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,adress,time_to_rent,m_lat,m_long,a_lat,a_long,time_to_metro
12,298752610.0,8,9,33.0,19000,Выборгский,Проспект Просвещения,1.0,1.0,1.0,0.0,0.0,0.0,6.5,2.5,1.0,нет балкона,На улицу,Косметический,1975.0,Панельный,Наземная,Сиреневый бульвар 8К1 Санкт-Петербург,4,60.051176,30.332676,60.054415,30.353103,18.283183333333334
13,298752187.0,14,17,33.0,30000,Приморский,Беговая,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.7,1.0,нет балкона,Во двор,Дизайнерский,2013.0,Монолитный,Наземная,Туристская  20к2 Санкт-Петербург,3,59.988005,30.202609,59.998189,30.20542,17.449483333333333
14,298752155.0,7,8,25.3,27000,Невский,Ломоносовская,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.67277397260274,1.0,1 лоджия,На улицу,Косметический,1963.0,Кирпичный,Наземная, Седова 120 Санкт-Петербург,6,59.877335,30.441695,59.867832,30.443186,16.35215
15,298751495.0,3,5,30.0,25000,Московский,Звездная,1.0,1.0,1.0,1.0,0.0,1.0,12.0,2.67277397260274,1.0,1 балкон,Во двор,Косметический,1966.0,Кирпичный,Наземная,Витебский проспект 69 Санкт-Петербург,1,59.83328,30.349447,59.841324,30.363272,19.224683333333335
16,298750362.0,3,5,36.0,23000,Невский,Улица Дыбенко,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.6,1.0,1 балкон,Во двор,Косметический,1971.0,Панельный,Наземная, Дыбенко 36К3 Санкт-Петербург,13,59.907437,30.483368,59.912017,30.494471,13.231916666666667
17,298750318.0,8,14,50.0,40000,Калининский,Выборгская,1.0,1.0,1.0,0.0,0.0,1.0,11.0,2.7,1.0,1 лоджия,Во двор,Косметический,2012.0,Кирпичный,Наземная,проспект Металлистов 116к1 Санкт-Петербург,1,59.971006,30.347309,59.97206,30.394794,40.161449999999995
18,298750227.0,2,14,35.0,70000,Приморский,Лесная,1.0,1.0,1.0,1.0,1.0,1.0,10.0,2.7,1.0,1 лоджия,Во двор,Дизайнерский,2021.0,Монолитный,Подземная,Земледельческая  3 Санкт-Петербург,6,59.984769,30.344363,59.99026,30.328049,17.800133333333335
19,298746071.0,20,21,40.0,47000,Приморский,Комендантский проспект,1.0,1.0,1.0,1.0,1.0,1.0,13.0,2.7,1.0,1 балкон,На улицу,Евроремонт,2021.0,Монолитный,Наземная,Полевая Сабировская  45к1 Санкт-Петербург,13,60.008716,30.258385,59.994868,30.275094,26.432716666666668
20,298739813.0,3,9,36.0,50000,Выборгский,Лесная,1.0,1.0,0.0,0.0,0.0,1.0,17.5,2.67277397260274,1.0,нет балкона,Во двор,Евроремонт,2022.0,Монолитный,Наземная,Большой Сампсониевский проспект 69к3 Санкт-Петербург,0,59.984769,30.344363,59.982748,30.336763,9.113066666666667
21,298736423.0,4,17,42.0,24000,Приморский,Комендантский проспект,1.0,1.0,1.0,0.0,0.0,0.0,10.0,2.7,1.0,1 лоджия,На улицу,Косметический,1991.0,Кирпичный,Наземная, Ильюшина 15К2 Санкт-Петербург,6,60.008716,30.258385,60.010789,30.238577,16.939433333333334
22,298732659.0,9,21,38.3,35000,Красногвардейский,Ладожская,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.8,2.0,"1 лоджия, 1 балкон",На улицу и двор,Евроремонт,2017.0,Панельный,Наземная,проспект Энергетиков 9к6 Санкт-Петербург,3,59.932428,30.439198,59.937991,30.440141,17.888783333333333
23,298732395.0,2,13,35.0,45000,Фрунзенский,Обводный канал,1.0,1.0,1.0,0.0,0.0,0.0,10.0,2.7,1.0,1 лоджия,Во двор,Евроремонт,2022.0,Монолитный,Подземная, Тосина 6 Санкт-Петербург,0,59.914714,30.349699,59.904053,30.347659,17.977899999999998
24,298730957.0,3,21,31.9,35000,Фрунзенский,Международная,1.0,1.0,1.0,1.0,0.0,1.0,8.4,2.6,1.0,1 лоджия,Во двор,Евроремонт,2010.0,Кирпичный,Наземная, Турку 11к2 Санкт-Петербург,13,59.870208,30.379298,59.865962,30.380942,13.503166666666667
25,298727898.0,12,14,36.0,32000,Василеостровский,Приморская,1.0,1.0,0.0,0.0,0.0,0.0,7.5,2.6,1.0,1 лоджия,Во двор,Косметический,1977.0,Блочный,Наземная, Кораблестроителей 35 Санкт-Петербург,6,59.94846,30.234607,59.953817,30.222075,14.761383333333333
26,298727184.0,3,19,35.0,43000,Адмиралтейский,Московские ворота,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.67277397260274,1.0,1 лоджия,Во двор,Евроремонт,2022.0,Кирпичный,Подземная,бульвар Измайловский 11 Санкт-Петербург,1,59.892098,30.317961,59.896946,30.306094,19.617866666666664
27,298725143.0,9,10,43.0,40000,Василеостровский,Василеостровская,1.0,1.0,0.0,0.0,0.0,1.0,13.0,3.0,1.0,1 лоджия,На улицу,Евроремонт,2014.0,Панельный,Подземная, Беринга 5 Санкт-Петербург,8,59.94252,30.278274,59.936846,30.248189,24.75068333333333
28,298720762.0,17,24,31.0,33000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,1.0,9.0,2.67277397260274,1.0,1 лоджия,Во двор,Дизайнерский,2019.0,Блочный,Открытая, Плесецкая 14 Санкт-Петербург,13,60.008716,30.258385,60.035256,30.218572,49.546616666666665
30,298719153.0,5,19,40.0,20000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,1.0,11.0,2.7,1.0,1 лоджия,Во двор,Евроремонт,2009.0,Панельный,Наземная,Богатырский проспект 50к1 Санкт-Петербург,3,60.008716,30.258385,60.005482,30.217242,36.774883333333335
31,298719076.0,3,4,45.0,61000,Приморский,Беговая,1.0,1.0,0.0,1.0,0.0,1.0,16.0,3.0,1.0,1 лоджия,Во двор,Дизайнерский,2015.0,Монолитный,Наземная, Новая 51к7 Санкт-Петербург,2,59.988005,30.202609,60.006638,30.153623,55.43528333333334
32,298717703.0,13,15,44.9,75000,Красногвардейский,Новочеркасская,1.0,1.0,0.0,1.0,0.0,1.0,23.9,2.7,1.0,1 балкон,На улицу и двор,Дизайнерский,2018.0,Монолитный,Наземная,Магнитогорская  3к2 Санкт-Петербург,13,59.928916,30.411485,59.936206,30.417396,14.715983333333332
