,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
41,295728897.0,28/11/2023  17:10,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295728897/,Санкт-Петербург,16,19,1,28.0,714,20000,Выборгский,Заречная ,45к2,Парнас,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,18.0,4.0,2.6,,1.0,1 балкон,Во двор,Косметический,2018.0,Кирпичный,Нет,Наземная
42,295728876.0,28/11/2023  18:04,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295728876/,Санкт-Петербург,1,5,1,16.0,1156,18500,Петроградский, Маркина,10,Горьковская,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,3.4,,1.0,,Во двор,Евроремонт,1916.0,,Нет,
43,295728758.0,28/11/2023  18:31,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295728758/,Санкт-Петербург,16,24,1,24.0,833,20000,Приморский, Плесецкая,10с1,Комендантский проспект,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,4.0,,,1.0,1 лоджия,На улицу и двор,Косметический,,Монолитно-кирпичный,,Наземная
44,295728201.0,28/11/2023  16:52,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295728201/,Санкт-Петербург,3,6,-1,30.0,1633,49000,Центральный,Херсонская ,43/12,Площадь Александра Невского,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,5.0,,,1.0,,Во двор,Дизайнерский,2019.0,Монолитный,Нет,Подземная
45,295726411.0,28/11/2023  16:27,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295726411/,Санкт-Петербург,10,21,1,30.0,1000,30000,Выборгский,проспект Просвещения,43,Проспект Просвещения,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,2.7,,1.0,1 балкон,Во двор,Дизайнерский,2017.0,,Нет,Наземная
46,295725221.0,28/11/2023  16:06,28/01/2024 23:22,https://spb.cian.ru/rent/flat/295725221/,Санкт-Петербург,17,27,1,25.0,1400,35000,Выборгский, Николая Рубцова,3,Парнас,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,2.6,,,,,Евроремонт,2019.0,Кирпичный,Нет,
47,295724773.0,28/11/2023  16:56,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295724773/,Санкт-Петербург,3,5,1,28.0,999,27990,Центральный,Старорусская ,2,Площадь Восстания,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,4.2,,1.0,,Во двор,Евроремонт,,Кирпичный,,
48,295724717.0,28/11/2023  17:11,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295724717/,Санкт-Петербург,12,18,1,27.0,925,25000,Василеостровский, Вадима Шефнера,12к1,Приморская,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,4.0,,,1.0,1 лоджия,На улицу,Косметический,2016.0,,Нет,Открытая
49,295724368.0,28/11/2023  15:49,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295724368/,Санкт-Петербург,7,25,1,25.0,1000,25000,Приморский,Комендантский проспект,64к1,Комендантский проспект,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0,4.0,,,,1 лоджия,Во двор,Евроремонт,2019.0,Монолитно-кирпичный,Нет,
50,295722725.0,28/11/2023  19:21,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295722725/,Санкт-Петербург,11,13,1,25.0,1400,35000,Выборгский,Новолитовская ,12,Лесная,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,2.7,,,,Во двор,Евроремонт,2020.0,Монолитный,Нет,
51,295722506.0,28/11/2023  15:03,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295722506/,Санкт-Петербург,6,27,1,22.0,727,16000,Выборгский, Шишкина,299,Парнас,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,17.0,,,,1.0,1 лоджия,Во двор,Евроремонт,2022.0,Кирпичный,Нет,Открытая
52,295722483.0,28/11/2023  19:53,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295722483/,Санкт-Петербург,1,4,-1,10.0,2500,25000,Василеостровский,6-я Васильевского острова линия,47,Василеостровская,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.5,3.0,,1.0,,Во двор,Евроремонт,1917.0,Кирпичный,Нет,
53,295722336.0,28/11/2023  15:37,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295722336/,Санкт-Петербург,8,18,1,20.4,980,20000,Красногвардейский,Полюстрово,25к2,Академическая,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,Косметический,,Панельный,,
54,295721035.0,28/11/2023  15:31,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295721035/,Санкт-Петербург,18,26,1,27.0,740,20000,Невский,Рыбацкий проспект,18к2,Рыбацкое,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,2.7,,1.0,1 балкон,Во двор,Косметический,2014.0,Кирпичный,Нет,Подземная
55,295720900.0,28/11/2023  14:31,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295720900/,Санкт-Петербург,28,29,-1,23.5,1361,32000,Московский,Витебский проспект,99к1,Купчино,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,,,,1.0,,На улицу,Евроремонт,,Монолитно-кирпичный,,Наземная
56,295720744.0,28/11/2023  14:24,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295720744/,Санкт-Петербург,4,26,1,24.98,640,16000,Приморский, Верхне-Каменская,11к1с1,Комендантский проспект,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.4,,,,1.0,1 балкон,,Евроремонт,2023.0,,Нет,Наземная
57,295720562.0,28/11/2023  14:23,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295720562/,Санкт-Петербург,10,26,1,25.0,600,15000,Приморский, Верхне-Каменская,11к1с1,Комендантский проспект,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,,2.7,,1.0,1 балкон,На улицу,Евроремонт,2023.0,,Нет,Наземная
58,295718756.0,28/11/2023  13:52,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295718756/,Санкт-Петербург,13,18,1,25.0,1040,26000,Калининский, Руставели,60,Гражданский проспект,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,2.8,,,,,Косметический,2011.0,,Нет,
