,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
18,295654687,27/11/2023  11:43,28/11/2023 10:15,https://spb.cian.ru/rent/flat/295654687/,Ленобласть,16,18,1,24.4,1024,25000,Всеволожский, Венская,5,Улица Дыбенко,1,1,0,0,1,0,0,1,1,1,16,,2.7,,1.0,1 лоджия,На улицу и двор,Евроремонт,2014,Блочный,Нет,
19,295651383,27/11/2023  10:34,28/11/2023 10:15,https://spb.cian.ru/rent/flat/295651383/,Ленобласть,2,12,1,27.0,370,10000,Гатчинский,Большеколпанское с/пос,3,,1,1,0,0,1,0,0,0,0,0,17,5,2.7,,1.0,1 лоджия,На улицу,Косметический,2015,Монолитный,Нет,
20,295643299,27/11/2023  07:15,28/11/2023 10:16,https://spb.cian.ru/rent/flat/295643299/,Ленобласть,4,18,1,25.0,720,18000,Всеволожский,бульвар Воронцовский,17,Девяткино,1,1,1,0,1,0,0,1,0,1,15,5,,,1.0,1 лоджия,На улицу,Евроремонт,2018,Монолитный,Нет,Открытая
21,295642753,27/11/2023  10:37,28/11/2023 10:17,https://spb.cian.ru/rent/flat/295642753/,Ленобласть,10,22,1,25.0,800,20000,Всеволожский,бульвар Петровский,12к1,Девяткино,1,1,0,0,1,0,0,1,0,1,17,2,2.7,,1.0,1 балкон,Во двор,Евроремонт,2017,,Нет,Открытая
22,295630802,26/11/2023  23:59,28/11/2023 10:18,https://spb.cian.ru/rent/flat/295630802/,Ленобласть,6,12,1,22.0,1045,23000,Всеволожский,проспект Строителей,5,Улица Дыбенко,1,1,0,0,1,0,0,1,1,1,16,,3,,1.0,1 балкон,Во двор,Евроремонт,2023,Кирпичный,Нет,Наземная
23,295630744,27/11/2023  16:41,28/11/2023 10:19,https://spb.cian.ru/rent/flat/295630744/,Ленобласть,12,19,1,30.0,833,25000,Всеволожский, Шувалова,8,Девяткино,1,1,1,0,1,0,0,1,1,1,20,3,3,,1.0,1 лоджия,Во двор,Евроремонт,2019,Кирпичный,Нет,Наземная
24,295629903,27/11/2023  14:16,28/11/2023 10:21,https://spb.cian.ru/rent/flat/295629903/,Ленобласть,14,25,1,26.0,807,21000,Всеволожский, Английская,3к3,,0,0,0,0,0,0,0,1,0,0,16,,,,,1 лоджия,,Косметический,2018,,Нет,
25,295629898,27/11/2023  08:28,28/11/2023 10:21,https://spb.cian.ru/rent/flat/295629898/,Ленобласть,5,23,1,23.9,1129,27000,Всеволожский,проспект Европейский,22,Улица Дыбенко,1,1,0,1,1,0,0,0,0,1,15.2,,2.7,,1.0,1 лоджия,Во двор,Евроремонт,2022,,Нет,Подземная
26,295629678,27/11/2023  09:29,28/11/2023 10:23,https://spb.cian.ru/rent/flat/295629678/,Ленобласть,16,20,1,21.0,1000,21000,Всеволожский,бульвар Петровский,12к2,Девяткино,1,1,0,1,1,0,0,1,0,1,,,2.7,,1.0,1 лоджия,Во двор,Дизайнерский,2017,,Нет,Наземная
27,295628366,27/11/2023  08:11,28/11/2023 10:23,https://spb.cian.ru/rent/flat/295628366/,Ленобласть,11,22,1,27.0,740,20000,Всеволожский,бульвар Воронцовский,6,Девяткино,1,1,0,0,1,0,0,1,1,1,19,,,,1.0,1 лоджия,Во двор,Косметический,2015,Монолитно-кирпичный,Нет,
