,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
18,294647426,3/11/2023  12:07,28/11/2023 13:10,https://spb.cian.ru/rent/flat/294647426/,Ленобласть,3,5,3,59.0,847,50000,Гатчина, Володарского,39,,1,1,1,1,1,0,0,1,0,1,45,5.8,,,1.0,1 балкон,Во двор,Косметический,1967,Панельный,Нет,Наземная
19,294625586,24/11/2023  10:50,28/11/2023 13:10,https://spb.cian.ru/rent/flat/294625586/,Ленобласть,8,9,3,69.0,652,45000,Ломоносовский, Невская,6,,1,1,1,1,1,0,0,1,0,1,,,2.7,Изолированная,2.0,1 балкон,,Евроремонт,2021,Кирпичный,Нет,
20,294417536,5/11/2023  14:47,28/11/2023 13:12,https://spb.cian.ru/rent/flat/294417536/,Ленобласть,2,2,3,67.0,126,8500,Тихвинский,Горское с/пос,,,1,1,1,1,1,0,0,0,0,1,53,10,2.6,,1.0,,На улицу,Косметический,,Кирпичный,,Наземная
21,294287276,28/11/2023  10:57,28/11/2023 13:13,https://spb.cian.ru/rent/flat/294287276/,Ленобласть,7,26,3,75.0,900,67500,Всеволожский,проспект Авиаторов Балтики,3к1,Девяткино,1,1,1,1,1,0,1,1,1,1,45,12,2.7,Изолированная,2.0,"1 лоджия, 1 балкон",Во двор,Евроремонт,2018,,Нет,Наземная
22,294220060,24/11/2023  16:37,28/11/2023 13:14,https://spb.cian.ru/rent/flat/294220060/,Ленобласть,13,18,3,62.0,1129,70000,Всеволожский,аллея Каштановая,3,,1,1,1,1,1,1,0,1,0,1,42,15,,Изолированная,2.0,1 лоджия,На улицу,Дизайнерский,2015,Кирпичный,Нет,Открытая
23,294205592,27/11/2023  11:35,28/11/2023 13:15,https://spb.cian.ru/rent/flat/294205592/,Ленобласть,4,4,3,72.1,638,46000,Всеволожский, Верная,1к1,Проспект Просвещения,1,1,1,1,1,1,1,1,0,1,,,2.7,,1.0,1 лоджия,Во двор,Дизайнерский,2017,Блочный,Нет,Наземная
24,294016026,17/11/2023  12:23,28/11/2023 13:16,https://spb.cian.ru/rent/flat/294016026/,Ленобласть,2,5,3,71.3,771,55000,Кингисеппский,Куземкинское с/пос,5,,1,1,1,1,1,0,0,0,0,1,48,9,,Изолированная,1.0,1 лоджия,На улицу и двор,Косметический,1988,Панельный,Нет,Наземная
25,293885587,24/11/2023  19:44,28/11/2023 13:18,https://spb.cian.ru/rent/flat/293885587/,Ленобласть,3,5,3,72.0,305,22000,Гатчинский, Центральная,14,,1,1,1,1,1,0,0,1,0,1,46,8,,,,1 лоджия,Во двор,Косметический,1977,Панельный,Нет,
26,293712494,10/11/2023  12:23,28/11/2023 13:19,https://spb.cian.ru/rent/flat/293712494/,Ленобласть,3,5,3,58.0,500,29000,Всеволожский,Заречная ,17,Парнас,1,1,0,0,1,0,0,0,1,1,40,9,,,,1 балкон,,Косметический,1973,Панельный,Нет,
27,293460661,23/11/2023  21:20,28/11/2023 13:20,https://spb.cian.ru/rent/flat/293460661/,Ленобласть,19,22,3,57.0,1035,59000,Всеволожский, Первых,,,1,1,1,0,1,0,0,1,0,1,26,20,,Изолированная,1.0,,На улицу и двор,Евроремонт,,Кирпичный,,Открытая
