,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
0,295709107,28/11/2023  11:35,28/11/2023 12:19,https://spb.cian.ru/rent/flat/295709107/,Ленобласть,4,5,2,42.0,357,15000,Луга,проспект Кирова,10,,1,1,1,1,1,0,0,0,0,1,27.0,5.5,2.5,,1.0,1 балкон,На улицу,Косметический,1972.0,Панельный,Нет,Наземная
1,295702723,28/11/2023  10:25,28/11/2023 12:20,https://spb.cian.ru/rent/flat/295702723/,Ленобласть,9,12,2,49.0,571,28000,Ломоносовский, Современников,17к1,,1,1,0,0,1,0,0,0,0,1,20.0,16.5,,Изолированная,1.0,,Во двор,Косметический,2021.0,,Нет,Открытая
2,295692924,27/11/2023  22:54,28/11/2023 12:21,https://spb.cian.ru/rent/flat/295692924/,Ленобласть,4,5,2,44.0,272,12000,Ломоносовский,Виллозское городское поселение,101,,1,1,0,0,1,0,0,0,0,1,26.0,8.0,,Изолированная,,1 балкон,,Без ремонта,1982.0,,Нет,Наземная
3,295685277,27/11/2023  19:44,28/11/2023 12:22,https://spb.cian.ru/rent/flat/295685277/,Ленобласть,14,20,2,57.0,614,35000,Всеволожский,проспект Ручьевский,13,Девяткино,1,1,1,1,1,0,0,0,0,1,30.0,11.5,3.0,,2.0,1 лоджия,Во двор,Евроремонт,2021.0,Кирпичный,Нет,Подземная
4,295673147,27/11/2023  20:54,28/11/2023 12:23,https://spb.cian.ru/rent/flat/295673147/,Ленобласть,4,4,2,55.0,472,26000,Гатчина,Соборная ,24Б,,1,1,1,1,1,0,0,0,0,1,45.0,6.0,,Смежная,,1 балкон,,Косметический,1961.0,Кирпичный,Нет,
5,295667599,27/11/2023  21:04,28/11/2023 12:24,https://spb.cian.ru/rent/flat/295667599/,Ленобласть,24,26,2,60.0,666,40000,Всеволожский,проспект Европейский,21к1,Улица Дыбенко,1,1,1,1,1,1,0,0,0,1,40.0,14.0,2.7,,1.0,1 лоджия,На улицу и двор,Евроремонт,2017.0,,Нет,
6,295661202,27/11/2023  13:18,28/11/2023 12:25,https://spb.cian.ru/rent/flat/295661202/,Ленобласть,3,8,2,46.0,434,20000,Всеволожский, Рождественская,2,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2023.0,,Нет,
7,295651000,27/11/2023  10:35,28/11/2023 12:26,https://spb.cian.ru/rent/flat/295651000/,Ленобласть,5,6,2,60.0,383,23000,Гатчина,проспект 25 Октября,46,,1,1,0,1,1,0,0,1,0,0,,9.0,,,1.0,1 лоджия,Во двор,Косметический,1992.0,Кирпичный,Нет,
8,295647826,27/11/2023  11:19,28/11/2023 12:27,https://spb.cian.ru/rent/flat/295647826/,Ленобласть,16,17,2,53.0,509,27000,Всеволожский, Шувалова,22к3,Девяткино,1,0,0,0,1,0,0,0,0,0,,11.0,,Изолированная,1.0,1 лоджия,На улицу,Косметический,2021.0,,Нет,
9,295630251,27/11/2023  00:43,28/11/2023 12:29,https://spb.cian.ru/rent/flat/295630251/,Ленобласть,6,6,2,66.0,636,42000,Ломоносовский, Адмиралтейская,3,,1,1,1,1,1,1,0,1,0,1,27.0,14.0,2.7,,1.0,2 балкона,Во двор,Дизайнерский,2019.0,,Нет,Наземная
10,295620648,26/11/2023  18:54,28/11/2023 12:30,https://spb.cian.ru/rent/flat/295620648/,Ленобласть,3,5,2,54.0,222,12000,Сланцы, Шахтерской Славы,16,,1,1,1,0,1,0,0,1,1,1,30.0,8.0,,Изолированная,1.0,1 лоджия,Во двор,Косметический,1985.0,Панельный,Нет,
11,295617967,27/11/2023  23:26,28/11/2023 12:31,https://spb.cian.ru/rent/flat/295617967/,Ленобласть,3,5,2,60.6,462,28000,Всеволожский, Тихвинская,6к5,Озерки,1,1,0,1,1,0,0,1,0,1,30.0,15.0,2.7,,1.0,,Во двор,Евроремонт,2016.0,Монолитный,Нет,Наземная
12,295605357,26/11/2023  13:55,28/11/2023 12:32,https://spb.cian.ru/rent/flat/295605357/,Ленобласть,1,5,2,40.0,375,15000,Всеволожский,Лесколовское с/пос,,,1,1,0,0,1,0,0,0,0,1,,6.0,,Изолированная,,,,Косметический,,Кирпичный,,
13,295596959,26/11/2023  10:59,28/11/2023 12:33,https://spb.cian.ru/rent/flat/295596959/,Ленобласть,2,9,2,60.0,500,30000,Всеволожский, Школьная,7,,1,1,0,1,1,0,0,0,0,1,35.0,12.0,2.7,,1.0,,,Косметический,2006.0,,Нет,
14,295541241,25/11/2023  19:14,28/11/2023 12:34,https://spb.cian.ru/rent/flat/295541241/,Ленобласть,13,20,2,52.0,557,29000,Всеволожский, Озерная,6,,1,1,1,1,1,0,0,0,0,1,29.0,10.0,,,,1 балкон,На улицу и двор,Евроремонт,2005.0,Монолитный,Нет,
15,295531895,25/11/2023  16:30,28/11/2023 12:35,https://spb.cian.ru/rent/flat/295531895/,Ленобласть,3,5,2,64.0,500,32000,Ломоносовский,Аннинское городское поселение,5,,1,1,1,1,1,0,0,1,0,1,40.0,18.0,,Изолированная,,,,Косметический,1976.0,Блочный,Нет,
16,295524053,26/11/2023  21:30,28/11/2023 12:36,https://spb.cian.ru/rent/flat/295524053/,Ленобласть,3,8,2,81.6,324,26500,Всеволожский, Новая,14Ак1,,1,1,0,1,1,1,0,1,0,1,33.9,11.0,2.7,Изолированная,1.0,1 балкон,На улицу и двор,Евроремонт,2016.0,Монолитный,Нет,
17,295518940,25/11/2023  20:06,28/11/2023 12:38,https://spb.cian.ru/rent/flat/295518940/,Ленобласть,2,7,2,70.0,357,25000,Всеволожский, Полевая,7,,1,1,1,1,1,1,0,1,0,1,35.0,13.0,2.6,Изолированная,1.0,1 лоджия,Во двор,Косметический,2008.0,,Нет,Наземная
18,295492369,25/11/2023  20:17,28/11/2023 12:39,https://spb.cian.ru/rent/flat/295492369/,Ленобласть,13,16,2,61.8,566,35000,Ломоносовский, Современников,11/6,,1,1,1,0,1,0,0,1,0,1,30.1,10.8,,Изолированная,1.0,1 лоджия,,Косметический,2018.0,Панельный,Нет,
19,295485270,25/11/2023  00:58,28/11/2023 12:40,https://spb.cian.ru/rent/flat/295485270/,Ленобласть,2,2,2,52.0,480,25000,Кировский,Комсомольская ,6,Рыбацкое,1,1,1,1,0,0,0,1,0,0,30.0,8.0,3.0,,1.0,,,Косметический,1951.0,,Нет,
20,295478583,25/11/2023  13:33,28/11/2023 12:41,https://spb.cian.ru/rent/flat/295478583/,Ленобласть,2,12,2,36.4,824,30000,Ломоносовский, Парадная,2/13,,1,1,0,1,1,1,0,0,0,1,28.4,,,Изолированная,,1 балкон,,Дизайнерский,2023.0,,Нет,
21,295472457,25/11/2023  16:16,28/11/2023 12:42,https://spb.cian.ru/rent/flat/295472457/,Ленобласть,8,14,2,55.0,600,33000,Всеволожский, Шувалова,18/8,Девяткино,1,1,0,0,1,0,0,0,0,1,30.0,12.0,,Изолированная,1.0,1 лоджия,На улицу и двор,Евроремонт,2022.0,,Нет,
22,295470998,28/11/2023  10:42,28/11/2023 12:44,https://spb.cian.ru/rent/flat/295470998/,Ленобласть,4,5,2,44.0,454,20000,Всеволожский,Сертолово,11,Проспект Просвещения,1,1,0,1,1,0,0,0,0,1,35.0,7.0,2.5,Изолированная,1.0,1 балкон,На улицу,Косметический,1961.0,Панельный,Нет,
23,295470648,24/11/2023  20:41,28/11/2023 12:44,https://spb.cian.ru/rent/flat/295470648/,Ленобласть,3,23,2,54.0,833,45000,Всеволожский,проспект Авиаторов Балтики,21,Девяткино,0,0,1,0,1,0,0,1,0,1,30.0,12.0,0.0,,1.0,1 балкон,,Евроремонт,2020.0,Блочный,Нет,
24,295462138,24/11/2023  17:53,28/11/2023 12:46,https://spb.cian.ru/rent/flat/295462138/,Ленобласть,4,5,2,49.0,816,40000,Кингисеппский,пос. Котельский,10,,1,1,0,1,1,0,0,1,0,1,25.0,7.0,,Изолированная,1.0,1 лоджия,На улицу,Косметический,1978.0,Панельный,Нет,Наземная
25,295436325,24/11/2023  11:54,28/11/2023 12:46,https://spb.cian.ru/rent/flat/295436325/,Ленобласть,19,19,2,74.6,804,60000,Всеволожский, Шувалова,8,Девяткино,1,1,1,1,1,1,0,1,0,1,,34.9,3.0,Изолированная,1.0,1 лоджия,,Евроремонт,2019.0,Кирпичный,Нет,
26,295436306,26/11/2023  14:38,28/11/2023 12:48,https://spb.cian.ru/rent/flat/295436306/,Ленобласть,5,6,2,50.0,400,20000,Тосненский,Тельмановское с/пос,5,,1,1,1,1,1,0,0,0,0,1,30.0,7.0,,,1.0,1 балкон,Во двор,Косметический,1987.0,Блочный,Нет,Наземная
27,295433739,24/11/2023  11:45,28/11/2023 12:49,https://spb.cian.ru/rent/flat/295433739/,Ленобласть,5,5,2,48.0,479,23000,Кириши,Советская ,18,,1,1,0,0,1,0,0,0,0,1,29.0,8.0,,Изолированная,1.0,,На улицу,Косметический,1984.0,Кирпичный,Нет,
28,291695331,12/2/2024  23:31,22/02/2024 04:58,https://spb.cian.ru/rent/flat/291695331/,Ленобласть,5,5,2,58.6,136,8000,Лужский,Дзержинское с/пос,,,0,0,0,0,0,0,0,0,0,0,,,,Изолированная,,1 балкон,,Без ремонта,,Панельный,,
29,291592841,20/2/2024  15:32,22/02/2024 04:58,https://spb.cian.ru/rent/flat/291592841/,Ленобласть,1,12,2,46.0,695,32000,Ломоносовский, Центральная,8к1,,1,1,1,0,1,1,0,1,1,1,,,,Изолированная,,1 балкон,Во двор,Евроремонт,2019.0,Панельный,Нет,
30,290810314,19/2/2024  16:18,22/02/2024 04:59,https://spb.cian.ru/rent/flat/290810314/,Ленобласть,1,3,2,45.0,600,27000,Гатчина, Карла Маркса,71,,1,1,1,0,1,0,0,1,1,1,30.0,6.0,2.7,Смежная,1.0,,На улицу,Косметический,1960.0,Кирпичный,Нет,
31,290788260,3/2/2024  11:30,22/02/2024 05:00,https://spb.cian.ru/rent/flat/290788260/,Ленобласть,6,19,2,54.0,620,33500,Всеволожский, Шоссе в Лаврики,64к1,,1,1,0,1,1,0,0,0,0,1,38.0,13.0,,,,1 балкон,,Евроремонт,2022.0,Монолитный,Нет,Наземная
32,290459862,8/2/2024  16:03,22/02/2024 05:01,https://spb.cian.ru/rent/flat/290459862/,Ленобласть,1,5,2,51.0,450,23000,Всеволожский, Верная,3к2,,1,1,1,1,1,0,0,1,0,1,24.0,12.0,2.7,Изолированная,1.0,,Во двор,Косметический,2016.0,Монолитный,Нет,
33,290175761,12/2/2024  17:22,22/02/2024 05:01,https://spb.cian.ru/rent/flat/290175761/,Ленобласть,8,10,2,55.0,600,33000,, Красных Военлетов,2А,Балтийская,1,1,1,1,1,1,1,1,0,1,40.0,,2.7,Смежная/Изолированная,1.0,1 лоджия,,Дизайнерский,2015.0,,Нет,Наземная
